Rank,Currency_Name,Price,Hour Change,Day Change,Week Change,Market_Capital,Volume,Circulating_Supply
1,"Bitcoin
BTC
Buy","$103,912.35",0.02%,1.08%,0.51%,"$2,064,249,160,951","$34,546,897,479
332.49K BTC",19.86M BTC
2,"Ethereum
ETH
Buy","$2,511.36",0.14%,1.27%,0.05%,"$303,190,627,849","$14,187,477,859
5.65M ETH",120.72M ETH
3,"Tether
USDT
Buy",$0.9999,0.01%,0.02%,0.00%,"$151,280,820,718","$52,066,529,118
52.06B USDT",151.28B USDT
4,"XRP
XRP
Buy",$2.39,0.13%,2.10%,1.00%,"$140,508,606,271","$2,369,765,826
989.16M XRP",58.62B XRP
5,"BNB
BNB
Buy",$645.51,0.06%,0.75%,2.08%,"$90,945,388,573","$1,368,703,873
2.12M BNB",140.88M BNB
6,"Solana
SOL
Buy",$171.44,0.03%,2.66%,1.62%,"$89,118,649,849","$2,303,613,040
13.43M SOL",519.81M SOL
7,"USDC
USDC
Buy",$0.9996,0.01%,0.01%,0.03%,"$60,859,249,078","$5,724,123,581
5.72B USDC",60.88B USDC
8,"Dogecoin
DOGE
Buy",$0.2232,0.05%,3.67%,4.41%,"$33,334,189,184","$1,451,976,051
6.50B DOGE",149.31B DOGE
9,"Cardano
ADA
Buy",$0.7603,0.15%,0.12%,4.90%,"$26,854,281,758","$764,094,788
1.00B ADA",35.32B ADA
10,"TRON
TRX
Buy",$0.2725,0.09%,1.26%,3.67%,"$25,865,253,714","$560,154,137
2.05B TRX",94.89B TRX
11,"Sui
SUI
Buy",$3.85,0.06%,2.48%,3.07%,"$12,855,182,576","$906,799,845
235.48M SUI",3.33B SUI
12,"Chainlink
LINK
Buy",$15.71,0.15%,2.45%,5.53%,"$10,323,525,366","$318,289,329
20.25M LINK",657.09M LINK
13,"Avalanche
AVAX
Buy",$23.04,0.22%,1.23%,7.18%,"$9,691,861,051","$291,386,884
12.64M AVAX",420.56M AVAX
14,"Stellar
XLM
Buy",$0.2907,0.22%,1.17%,5.14%,"$9,034,497,530","$139,905,093
481.12M XLM",31.06B XLM
15,"Hyperliquid
HYPE
Buy",$26.90,0.89%,0.84%,8.28%,"$8,984,754,714","$132,948,283
4.94M HYPE",333.92M HYPE
16,"Shiba Inu
SHIB
Buy",$0.00001481,0.88%,4.55%,8.22%,"$8,727,377,542","$183,424,791
12.41T SHIB",589.24T SHIB
17,"Hedera
HBAR
Buy",$0.1948,0.01%,2.40%,6.47%,"$8,230,495,523","$127,303,285
653.90M HBAR",42.23B HBAR
18,"UNUS SED LEO
LEO
Buy",$8.69,0.01%,2.78%,4.31%,"$8,033,761,411","$2,118,174
243.39K LEO",923.43M LEO
19,"Bitcoin Cash
BCH
Buy",$400.39,0.11%,1.04%,3.30%,"$7,956,381,272","$234,441,422
585.69K BCH",19.87M BCH
20,"Toncoin
TON
Buy",$3.10,0.22%,2.05%,9.33%,"$7,736,077,761","$110,987,854
35.74M TON",2.49B TON
21,"Polkadot
DOT
Buy",$4.76,0.13%,2.05%,6.36%,"$7,525,668,954","$140,374,410
29.48M DOT",1.57B DOT
22,"Litecoin
LTC
Buy",$98.56,0.27%,0.39%,2.83%,"$7,477,868,339","$433,555,521
4.40M LTC",75.86M LTC
23,"Monero
XMR
Buy",$340.51,0.30%,2.31%,3.64%,"$6,281,303,844","$71,301,854
209.52K XMR",18.44M XMR
24,"Bitget Token
BGB
Buy",$5.24,0.31%,5.70%,7.78%,"$6,136,684,568","$55,688,201
10.64M BGB",1.16B BGB
25,"Pepe
PEPE
Buy",$0.00001339,1.00%,8.64%,1.77%,"$5,633,980,416","$1,041,093,943
77.71T PEPE",420.68T PEPE
26,"Dai
DAI
Buy",$0.9998,0.01%,0.01%,0.00%,"$5,364,685,256","$17,129,947,897
17.13B DAI",5.36B DAI
27,"Pi
PI
Buy",$0.7478,0.43%,5.77%,29.90%,"$5,358,618,100","$324,453,756
435.34M PI",7.16B PI
28,"Ethena USDe
USDe
Buy",$1.00,0.01%,0.04%,0.01%,"$4,985,984,654","$73,866,156
73.83M USDe",4.98B USDe
29,"Uniswap
UNI
Buy",$5.93,0.34%,1.35%,16.60%,"$3,734,074,462","$200,413,407
33.74M UNI",628.68M UNI
30,"Bittensor
TAO
Buy",$424.22,0.57%,1.54%,7.11%,"$3,736,338,830","$77,205,799
182.36K TAO",8.8M TAO
31,"Aave
AAVE
Buy",$226.66,0.02%,1.00%,2.40%,"$3,426,530,545","$217,681,270
963.06K AAVE",15.11M AAVE
32,"NEAR Protocol
NEAR
Buy",$2.77,0.26%,1.79%,12.91%,"$3,381,952,561","$157,423,172
56.74M NEAR",1.21B NEAR
33,"Aptos
APT
Buy",$5.20,0.09%,1.86%,13.28%,"$3,289,407,798","$106,488,451
20.47M APT",631.72M APT
34,"OKB
OKB
Buy",$53.15,0.05%,0.33%,4.48%,"$3,189,485,336","$2,692,955
50.66K OKB",60M OKB
35,"Ondo
ONDO
Buy",$0.9385,0.06%,2.88%,9.53%,"$2,965,043,221","$129,003,978
137.48M ONDO",3.15B ONDO
36,"Kaspa
KAS
Buy",$0.1123,0.88%,1.24%,5.68%,"$2,940,745,699","$80,425,594
719.01M KAS",26.18B KAS
37,"Internet Computer
ICP
Buy",$5.27,0.24%,2.01%,6.77%,"$2,812,199,227","$57,053,647
10.83M ICP",533.47M ICP
38,"Ethereum Classic
ETC
Buy",$18.43,0.11%,1.09%,7.37%,"$2,801,977,024","$141,819,815
7.69M ETC",151.96M ETC
39,"GateToken
GT
Buy",$21.56,0.01%,0.95%,2.17%,"$2,650,476,806","$5,904,910
273.72K GT",122.91M GT
40,"Cronos
CRO
Buy",$0.09976,0.73%,1.83%,0.52%,"$2,650,948,808","$19,570,946
196.27M CRO",26.57B CRO
41,"OFFICIAL TRUMP
TRUMP
Buy",$12.98,0.16%,3.96%,6.70%,"$2,597,949,865","$875,829,078
67.40M TRUMP",199.99M TRUMP
42,"POL (prev. MATIC)
POL
Buy",$0.2391,0.41%,3.53%,8.43%,"$2,493,300,587","$99,002,594
414.56M POL",10.42B POL
43,"Mantle
MNT
Buy",$0.7398,0.33%,1.35%,6.44%,"$2,489,304,586","$132,803,847
179.82M MNT",3.36B MNT
44,"VeChain
VET
Buy",$0.02848,0.33%,2.82%,7.89%,"$2,449,334,902","$38,285,571
1.34B VET",85.98B VET
45,"Render
RENDER
Buy",$4.66,0.02%,3.09%,10.61%,"$2,415,167,267","$55,653,829
11.93M RENDER",517.71M RENDER
46,"Ethena
ENA
Buy",$0.3784,0.29%,4.33%,6.47%,"$2,202,556,766","$186,561,914
492.95M ENA",5.82B ENA
47,"World Liberty Financial USD
USD1
Buy",$1.00,0.01%,0.00%,0.01%,"$2,128,849,683","$74,780,713
74.76M USD1",2.12B USD1
48,"Filecoin
FIL
Buy",$2.87,0.58%,3.05%,9.36%,"$1,919,425,721","$113,060,590
39.34M FIL",667.57M FIL
49,"Algorand
ALGO
Buy",$0.2230,0.02%,2.52%,7.90%,"$1,917,936,297","$57,617,115
258.68M ALGO",8.6B ALGO
50,"Arbitrum
ARB
Buy",$0.3912,0.03%,4.06%,15.81%,"$1,902,266,284","$176,284,033
450.91M ARB",4.86B ARB
51,"Cosmos
ATOM
Buy",$4.82,0.57%,1.42%,8.81%,"$1,887,592,814","$119,454,816
24.78M ATOM",390.93M ATOM
52,"Artificial Superintelligence Alliance
FET
Buy",$0.7674,0.29%,2.61%,10.63%,"$1,837,806,017","$88,355,131
115.40M FET",2.39B FET
53,"Celestia
TIA
Buy",$2.67,0.02%,2.05%,16.24%,"$1,708,609,910","$74,199,571
27.77M TIA",638.64M TIA
54,"Worldcoin
WLD
Buy",$1.14,1.12%,6.72%,10.08%,"$1,709,472,443","$130,798,844
114.90M WLD",1.49B WLD
55,"Bonk
BONK
Buy",$0.00002018,0.89%,7.65%,9.47%,"$1,598,938,648","$281,167,165
13.96T BONK",79.22T BONK
56,"First Digital USD
FDUSD
Buy",$0.9985,0.01%,0.02%,0.01%,"$1,510,860,654","$2,364,143,580
2.36B FDUSD",1.51B FDUSD
57,"Jupiter
JUP
Buy",$0.5128,0.16%,6.23%,8.70%,"$1,486,128,997","$43,220,737
84.37M JUP",2.89B JUP
58,"Maker
MKR
Buy","$1,774.17",0.14%,1.57%,2.38%,"$1,475,271,445","$31,590,185
17.80K MKR",831.52K MKR
59,"Sonic (prev. FTM)
S
Buy",$0.5095,0.45%,1.58%,14.02%,"$1,467,402,896","$79,250,356
155.76M S",2.88B S
60,"KuCoin Token
KCS
Buy",$11.58,0.04%,2.18%,2.49%,"$1,447,939,830","$1,550,161
133.86K KCS",125.02M KCS
61,"Story
IP
Buy",$4.81,0.51%,3.06%,1.54%,"$1,345,955,644","$41,085,914
8.53M IP",279.41M IP
62,"Stacks
STX
Buy",$0.8701,0.51%,2.34%,14.07%,"$1,328,098,828","$30,275,634
34.74M STX",1.52B STX
63,"Fartcoin
FARTCOIN
Buy",$1.28,0.01%,9.64%,3.33%,"$1,285,572,445","$124,206,327
96.68M FARTCOIN",999.99M FARTCOIN
64,"Flare
FLR
Buy",$0.01932,0.23%,0.78%,4.18%,"$1,262,938,311","$4,730,774
245.17M FLR",65.34B FLR
65,"EOS
EOS
Buy",$0.8063,0.10%,1.96%,11.35%,"$1,262,610,940","$103,733,553
128.82M EOS",1.56B EOS
66,"Sei
SEI
Buy",$0.2316,0.58%,3.28%,11.36%,"$1,235,273,134","$46,502,148
201.20M SEI",5.33B SEI
67,"Immutable
IMX
Buy",$0.6616,0.07%,4.69%,9.40%,"$1,218,682,845","$31,667,087
47.92M IMX",1.84B IMX
68,"Injective
INJ
Buy",$12.11,0.32%,4.79%,6.19%,"$1,210,898,182","$84,568,180
7.00M INJ",99.97M INJ
69,"Virtuals Protocol
VIRTUAL
Buy",$1.86,2.87%,9.96%,3.81%,"$1,214,629,600","$198,456,365
107.39M VIRTUAL",652.61M VIRTUAL
70,"Optimism
OP
Buy",$0.7169,0.01%,2.47%,17.90%,"$1,188,110,921","$129,599,505
181.17M OP",1.65B OP
